XCoord,YCoord,NAME
349945.11209827,323185.32298143,CUMBERLAND
328314.06764273,334397.95976078,WOONSOCKET
314113.58206934,324069.39939387,NORTH SMITHFIELD
274115.70540640,323329.13786965,BURRILLVILLE
341528.05592090,303836.54062407,LINCOLN
319657.29144309,298123.37616861,SMITHFIELD
276612.87855875,295262.07629592,GLOCESTER
357050.46126785,293970.93152239,CENTRAL FALLS
362340.82309127,288341.74239881,PAWTUCKET
339656.91109511,283578.78105667,NORTH PROVIDENCE
322596.36685830,271113.00690578,JOHNSTON
349347.17909299,269752.01301619,PROVIDENCE
367339.96398624,263525.25490567,EAST PROVIDENCE
295275.44883343,258471.14056570,SCITUATE
263788.74816347,257276.69445942,FOSTER
359224.42263394,269174.68464084,EAST PROVIDENCE
359474.13966322,268835.88819169,EAST PROVIDENCE
331860.18591165,248671.94342829,CRANSTON
375621.88539681,253575.77102514,EAST PROVIDENCE
363643.67853726,253150.14702624,EAST PROVIDENCE
364193.62947642,252952.54255368,EAST PROVIDENCE
382235.76719126,245083.42574557,BARRINGTON
376630.17081843,239082.93611481,BARRINGTON
346061.02342891,228643.23778436,WARWICK
376962.11526069,249367.85676147,BARRINGTON
377592.85055292,248662.81127620,BARRINGTON
377709.97443172,247725.99637082,BARRINGTON
385697.63809567,247583.24126307,BARRINGTON
393124.05152847,235204.20894557,WARREN
378213.46323447,246564.13389651,BARRINGTON
360376.32075027,244681.06888601,WARWICK
387387.15596281,244701.59494240,WARREN
360419.13220441,244439.58871378,WARWICK
360721.44967329,242846.55936132,WARWICK
369732.89964679,240855.78889955,BARRINGTON
369644.80834683,240636.25444854,BARRINGTON
381219.15974044,239883.88015233,BARRINGTON
360648.41294559,237218.46626899,WARWICK
385661.44433998,237030.77249418,WARREN
361177.52627826,236328.42217327,WARWICK
323813.03322292,224203.06911642,WEST WARWICK
284132.43794533,222281.70677610,COVENTRY
391030.60579559,218276.36970292,BRISTOL
383228.90280076,217642.92957722,BARRINGTON
383749.26777056,217635.91687658,BARRINGTON
383664.95538127,217382.60457126,BARRINGTON
417396.91889726,191745.83047265,TIVERTON
344798.53491976,207377.15603796,WARWICK
375677.89968321,193852.20909248,PORTSMOUTH
326301.25728346,201398.77380678,EAST GREENWICH
366425.53775911,208837.77667702,PORTSMOUTH
282421.48688225,198907.19991233,WEST GREENWICH
390952.61894061,209571.66412244,BRISTOL
394560.16251974,181304.84846266,PORTSMOUTH
338016.55785183,176835.26630284,NORTH KINGSTOWN
388127.16755871,203573.04898589,PORTSMOUTH
386676.38052780,205255.37898103,PORTSMOUTH
372455.18777127,204630.08012591,PORTSMOUTH
402473.32063952,200868.25325259,PORTSMOUTH
403503.42357339,200315.53630414,PORTSMOUTH
376737.66881390,199817.41762201,PORTSMOUTH
403791.18492928,198813.59615069,PORTSMOUTH
404536.39887404,193858.80644995,PORTSMOUTH
366037.19673947,191150.60705639,PORTSMOUTH
365722.69321965,190844.17297850,PORTSMOUTH
364335.25737654,189064.57569762,PORTSMOUTH
365814.99931018,190696.91577483,PORTSMOUTH
363590.93095790,189433.70683800,PORTSMOUTH
292215.78674252,175847.56311445,EXETER
365045.85468371,188340.91270265,PORTSMOUTH
382968.39044958,182036.58673740,PORTSMOUTH
340609.07905354,181164.90283478,NORTH KINGSTOWN
342735.48260282,180754.36307617,NORTH KINGSTOWN
361705.75039666,157477.74574383,JAMESTOWN
284057.58727412,151251.33959170,RICHMOND
419931.67771162,157580.52242122,LITTLE COMPTON
389283.19835347,158234.41866385,MIDDLETOWN
350407.28981567,171585.53212135,NORTH KINGSTOWN
258577.81861225,143994.74826240,HOPKINTON
